# ECOD Domain Names (F40 Representatives)
# Version: v294.1
# Generated: 2026-03-24 19:27:53
#
uid	ecod_domain_id	f_id
1	e1hvcA1	1.1.1.3
2	e4fivA1	1.1.1.3
3	e2rspA1	1.1.1.3
4	e2fmbA1	1.1.1.3
17	e2pmaA1	1.1.1.5
21	e2iv2X1	1.1.2.4
31	e1cz5A1	1.1.2.7
33	e1wlfA1	1.1.2.15
35	e1wc2A1	1.1.2.17
38	e2pnwA1	1.1.2.13
48	e1n0eA1	1.1.3.1
55	e2vpaA1	1.1.5.31
57	e1rfeA1	1.1.5.8
58	e2htiA1	1.1.5.31
60	e2i02A1	1.1.5.36
63	e2fhqA1	1.1.5.8
64	e2hq7A1	1.1.5.8
66	e2fg9A1	1.1.5.31
67	e2furA1	1.1.5.31
68	e1ejeA1	1.1.5.10
70	e1uscA1	1.1.5.10
72	e1wgbA1	1.1.5.10
77	e2rdeA1	1.1.5.25
78	e1ywuA1	1.1.5.25
80	e1y12A1	1.1.5.23
91	e1o65A1	1.1.15.3
92	e1vhoA1	1.1.7.22
94	e1y7eA1	1.1.7.15
96	e1yloA1	1.1.7.22
98	e1i8dA1	1.1.7.5
108	e1krhA1	1.1.7.7
109	e1ep3B1	1.1.7.0
111	e1tvcA1	1.1.7.7
115	e1fuiA1	1.1.7.18
121	e1hkvA1	1.1.7.1
127	e1mrzA1	1.1.7.10
129	e2vbuA1	1.1.7.14
133	e2dy1A1	1.1.7.50
140	e1xe1A1	1.1.7.34
143	e1zunB1	1.1.7.19
159	e1vloA1	1.1.8.3
162	e1r3eA1	1.1.9.1
168	e2cx1A1	1.1.9.1
169	e2q07A1	1.1.9.1
171	e1jhdA1	1.1.9.16
172	e1v47A1	1.1.9.16
176	e1v6zA1	1.1.9.20
177	e1t62A1	1.1.9.35
178	e2dp9A1	1.1.9.9
179	e1xneA1	1.1.9.9
185	e1wxxA1	1.1.9.17
186	e2b78A1	1.1.9.17
187	e2as0A1	1.1.9.17
188	e2aneA1	1.1.9.5
189	e1zboA1	1.1.9.5
190	e2gmqA1	1.1.9.12
192	e2nwaA1	1.1.9.13
203	e1k0hA1	1.1.13.2
205	e2gujA1	1.1.13.11
206	e2jn9A1	1.1.13.13
207	e1na6A1	1.1.11.2
209	e1yelA1	1.1.11.1
214	e1vkyA1	1.1.12.1
220	e1p3cA1	1.1.17.1
239	e1m9uA1	1.1.17.1
241	e1ltoA1	1.1.5.1
257	e1lvmB1	1.1.5.3
260	e1mbmA1	1.1.5.22
261	e2h6mA1	1.1.17.0
273	e2i0zA1	1.10.1.1
276	e1jh6A1	264.1.1.4
277	e1iuhA1	264.1.1.1
279	e2fsqA1	264.1.1.5
281	e1mw9X1	264.2.1.0
294	e1qvcA1	2.1.1.6
310	e1jb7B1	2.1.1.34
311	e1qzgA1	2.1.1.23
314	e1iyjB1	2.1.1.46
316	e1iyjB3	2.1.1.47
317	e1v1qA1	2.1.1.122
318	e1wjjA1	2.1.1.111
319	e1jjcB1	2.1.1.16
332	e1d7qA1	2.1.1.11
335	e1luzA1	2.1.1.7
336	e1jjgA1	2.1.1.0
338	e1bkbA1	2.1.1.13
350	e1u0lA1	2.1.1.73
353	e1wi5A1	2.1.1.7
355	e2ix0A2	2.1.1.38
358	e2r7dA1	2.1.1.98
361	e2je6I1	2.1.1.7
369	e1k3rA1	2.1.1.0
370	e1ckmA1	2.1.1.28
371	e1p16A1	2.1.1.28
372	e1a0iA1	2.1.1.91
376	e1gvpA1	2.1.1.20
377	e1pfsA1	2.1.1.90
378	e2a1kA1	2.1.1.45
379	e1je5A1	2.1.1.108
381	e1u5kA1	2.1.1.57
384	e1nnxA1	2.1.1.30
386	e1gm5A1	2.1.1.79
389	e1tgoA1	2.1.1.0
390	e2exdA1	2.1.1.19
395	e1prtD1	2.2.1.7
396	e1prtF1	2.2.1.8
397	e1esfA1	2.2.1.1
402	e1an8A1	2.2.1.1
404	e1eu3A1	2.2.1.1
405	e1v1oA1	2.2.1.6
406	e1ty0A1	2.2.1.1
411	e1uapA1	2.3.1.2
415	e1fr3A1	2.4.1.1
419	e1h9kA1	2.4.1.1
421	e1h9rA1	2.4.1.1
424	e1g2912	2.4.1.2
427	e1v43A1	2.4.1.7
435	e1bcoA1	2.8.1.1
438	e2f4iA1	2.13.1.1
439	e2k5wA1	2.12.1.1
441	e2ot2A1	2.14.1.1
444	e2hd3A1	2.16.1.1
448	e1urjA1	2.17.1.1
450	e2r7dA2	2.9.1.2
455	e1vj0A1	236.1.1.1
463	e1iz0A1	236.1.1.1
464	e1yb5A1	236.1.1.2
470	e1g31A1	236.1.2.1
478	e1ljoA1	4.1.1.19
484	e1ycyA1	4.1.1.0
490	e1ib8A1	4.1.1.97
495	e2a7yA1	4.1.1.63
499	e1phtA1	4.1.1.54
503	e1gl5A1	4.1.1.1
509	e1bb9A1	4.1.1.92
513	e1gcqC1	4.1.1.1
515	e1kjwA1	4.1.1.1
524	e1udlA1	4.1.1.92
525	e1uffA1	4.1.1.92
526	e1ug1A1	4.1.1.0
531	e1wfwA1	4.1.1.281
532	e1wieA1	4.1.1.92
536	e1m9sA3	4.1.1.86
537	e2akkA1	4.1.1.37
538	e2evrA1	4.1.1.120
540	e1ex4A1	4.1.1.8
547	e1igqA1	4.1.1.49
552	e1y71A1	4.1.1.61
559	e1h3zA1	4.1.1.12
560	e2nluA1	4.1.1.12
565	e1wjrA1	4.1.1.34
567	e2rh2A1	4.1.1.48
572	e1ixdA1	4.1.1.18
573	e1whlA1	4.1.1.18
574	e1whmA1	4.1.1.18
577	e2cp6A1	4.1.1.18
578	e2cp5A1	4.1.1.18
591	e1khiA2	4.1.1.139
598	e2heqA1	4.1.1.68
602	e1u04A1	4.1.1.80
603	e1sf9A1	4.1.1.62
605	e1ou8A1	4.1.2.1
608	e2qi2A1	4.23.1.2
609	e2vgnA1	4.23.1.2
626	e1pm3A1	4.6.1.2
628	e1ugjA1	4.6.1.3
632	e1sg5A1	4.7.1.2
638	e1g6zA1	4.8.1.1
640	e2hugA1	4.8.1.0
646	e2dy7A1	4.8.1.1
647	e1wgsA1	4.8.1.6
648	e2budA1	4.8.1.6
651	e1zbpA1	4.21.1.1
658	e1el0A1	1170.1.1.1
659	e1eigA1	1170.1.1.1
665	e1nr4A1	1170.1.1.1
666	e1rjtA1	1170.1.1.1
672	e1fjrA1	4.12.1.1
674	e2ox7A1	4999.1.1.1
675	e2i2lA1	4999.1.1.1
676	e2p84A1	4999.1.1.1
677	e2gs5A1	4113.1.1.1
682	e2bjqA1	4184.1.1.2
687	e1vl4A1	3053.1.1.1
688	e1vpbA1	3053.1.1.1
690	e1mdbA1	4011.1.1.0
694	e3cw9A1	4011.1.1.0
710	e1v5qA1	7.1.1.10
715	e1ueqA1	7.1.1.1
721	e1uitA1	7.1.1.1
722	e1ujdA1	7.1.1.1
727	e1v62A1	7.1.1.1
730	e1vaeA1	7.1.1.1
734	e1wifA1	7.1.1.1
751	e1i16A1	7.1.1.1
753	e2hgaA1	7.1.1.1
754	e1d3yA1	4027.1.1.1
759	e1tulA1	70.2.1.2
772	e2g46A1	70.3.1.1
773	e2h2jA1	70.3.1.0
779	e1zkcA1	75.1.1.1
781	e1x7fA1	75.1.1.5
788	e1at3A1	50.1.1.1
790	e1jsgA1	58.1.1.1
802	e2pnwA2	239.1.1.4
803	e2g5dA2	239.1.1.4
806	e1zghA1	270.1.1.4
811	e1qwzA1	290.1.1.1
814	e1nyoA1	239.3.1.1
817	e2aj7A1	4071.1.1.1
818	e1ifcA1	9.1.1.1
820	e1mdcA1	9.1.1.1
826	e2a0aA1	9.1.1.1
828	e1avgI1	9.1.1.5
837	e1jzuA1	9.1.1.1
840	e1i4uA1	9.1.1.1
841	e1gkaB1	9.1.1.1
842	e1qwdA1	9.1.1.11
846	e1z24A1	9.1.1.1
847	e2jozA1	9.1.1.20
848	e2gc9A1	9.1.1.8
849	e1vprA1	9.1.1.16
852	e2o62A1	9.1.1.29
853	e2o62A2	9.1.1.23
857	e1pbyA1	9.3.1.1
858	e1jmxA1	9.3.1.1
859	e2gtlM1	9.3.1.3
860	e2gtlO1	9.3.1.3
861	e2gtlN1	9.3.1.3
862	e1ei5A1	9.4.1.1
863	e1ei5A2	9.4.1.1
864	e1wubA1	9.5.1.1
867	e1oh1A1	9.6.1.1
868	e1nycA1	9.6.1.2
872	e1r0uA1	9.9.1.1
874	e2oojA1	9.13.1.3
875	e2q03A1	9.13.1.3
876	e2p12A1	4237.1.1.1
878	e1qj8A1	5084.1.1.10
884	e2vdfA1	5084.2.1.2
885	e1uynX1	5084.3.1.1
888	e2porA1	5084.5.1.11
890	e2fgqX1	5084.5.1.11
897	e1t16A1	5084.5.4.1
898	e1tlyA1	5084.6.1.1
899	e3c8wA1	4295.1.1.1
900	e3cmbA1	4295.1.1.1
901	e2ichA1	4252.1.1.1
902	e2ichA2	4252.1.1.1
907	e1ujrA1	4357.1.1.1
908	e2a90A1	4357.1.1.1
909	e2a90A2	4357.1.1.1
917	e2jn4A1	4087.1.1.1
918	e2o3iA1	4972.1.1.1
925	e1plsA1	220.1.1.1
933	e1fhoA1	220.1.1.66
934	e1eazA1	220.1.1.1
936	e1v5mA1	220.1.1.1
937	e1v5pA1	220.1.1.1
939	e1v61A1	220.1.1.1
943	e1txdA1	220.1.1.47
946	e1wg7A1	220.1.1.1
953	e2cofA1	220.1.1.1
955	e2fjlA1	220.1.1.1
967	e1wj1A1	220.1.1.5
978	e1i2hA1	220.1.1.2
987	e1t77A1	220.1.1.30
989	e2rnrB1	220.1.1.20
997	e1ywyA1	220.2.1.1
1005	e1jm1A1	66.1.1.0
1006	e1nykA1	66.1.1.0
1007	e1fqtA1	66.1.1.1
1009	e2b1xA1	66.1.1.0
1011	e1z01A1	66.1.1.1
1013	e2de6A1	66.1.1.1
1014	e2jo6A1	66.1.1.2
1015	e3c0dA1	66.1.1.2
1016	e1m1hA1	714.1.1.1
1019	e1ra0A1	65.1.1.0
1021	e1gkpA1	65.1.1.0
1022	e1gkrA1	65.1.1.0
1024	e2fvkA1	65.1.1.0
1028	e2pajA1	65.1.1.0
1029	e2oodA1	65.1.1.0
1031	e2i9uA1	65.1.1.0
1034	e1o12A1	65.1.1.0
1035	e1yrrA1	65.1.1.6
1038	e2icsA1	65.1.1.8
1040	e3be7A1	65.1.1.0
1041	e2qs8A1	65.1.1.0
1045	e2p9bA1	65.1.1.0
1046	e2imrA1	65.1.1.4
1054	e1wh0A1	319.1.1.3
1055	e1wfiA1	319.1.1.3
1057	e1ok0A1	701.1.1.1
1058	e1utyA1	703.1.1.1
1072	e1o4yA1	10.1.1.74
1073	e1upsA1	10.1.1.11
1077	e1uleA1	10.1.1.4
1087	e2erfA1	10.1.1.17
1092	e1oq1A1	10.1.1.31
1093	e1j1tA1	10.1.1.27
1095	e1uaiA1	10.1.1.27
1096	e1a8dA1	10.1.1.25
1098	e1ikpA1	10.1.1.29
1100	e1w0pA2	10.1.1.32
1101	e2sliA1	10.1.1.18
1103	e2v3iA1	10.1.1.13
1105	e1uypA1	10.1.1.26
1106	e1y4wA1	10.1.1.26
1109	e2bw8A1	10.1.1.15
1117	e2a5zA1	10.1.1.52
1121	e1pm4A1	10.32.1.35
1122	e1k3iA1	10.32.1.2
1123	e1w8oA1	10.32.1.2
1130	e1tvgA1	10.32.1.2
1134	e2bbaA1	10.32.1.5
1140	e1gu3A1	10.32.1.8
1141	e1cx1A1	10.32.1.8
1142	e1k42A1	10.32.1.8
1143	e1guiA1	10.32.1.8
1144	e1uxzA1	10.32.1.12
1146	e1w9sA1	10.32.1.12
1147	e1gnyA1	10.32.1.15
1148	e1j83A1	10.32.1.13
1150	e1oh4A1	10.32.1.36
1151	e1pmhX1	10.32.1.36
1152	e1gwmA1	10.32.1.0
1158	e1ju3A1	10.32.1.31
1159	e1mpxA1	10.32.1.31
1160	e1lnsA1	10.32.1.31
1161	e1l7lA1	10.32.1.29
1164	e1wmdA1	10.32.1.19
1166	e1wmxA1	10.32.1.80
1174	e1wkyA1	10.32.1.70
1175	e2o14A1	10.32.1.71
1180	e1pgsA2	10.2.1.47
1186	e1m3yA2	10.2.1.41
1191	e2bpa11	10.2.1.26
1193	e1m06G1	10.2.1.27
1195	e1s58A1	10.2.1.9
1197	e1dnvA1	10.2.1.28
1198	e1nlqA1	10.2.1.31
1204	e1aym11	10.2.1.69
1207	e1qqp11	10.2.1.1
1211	e1b35B1	10.2.1.1
1213	e1b35A1	10.2.1.44
1214	e1a6cA1	10.2.1.38
1215	e1a6cA2	10.2.1.34
1216	e1a6cA3	10.2.1.37
1219	e1pgl22	10.2.1.24
1220	e1pgl11	10.2.1.25
1232	e1smvA1	10.2.1.7
1233	e1f2nA1	10.2.1.7
1234	e1ng0A1	10.2.1.7
1236	e1stmA1	10.2.1.42
1258	e1szbA1	10.4.1.1
1260	e1bvp11	10.5.1.2
1261	e1uf2C1	10.5.1.6
1262	e1ahsA1	10.5.1.2
1263	e1qhdA1	10.5.1.3
1269	e1nc7A1	10.7.1.1
1273	e2p0mA1	10.10.1.1
1277	e1ig0A1	10.11.1.1
1278	e1ft9A1	10.12.1.0
1281	e1o5lA1	10.12.1.1
1290	e1zybA1	10.12.1.1
1292	e2gauA1	10.12.1.1
1296	e1nxmA1	10.12.1.4
1303	e1v70A1	10.12.1.39
1305	e1yhfA1	10.12.1.39
1328	e2bdrA1	10.12.1.19
1329	e1y9qA1	10.12.1.39
1331	e1znpA1	10.12.1.31
1334	e2b8mA1	10.12.1.3
1346	e1dcsA1	10.12.1.16
1353	e1otjA1	10.12.1.12
1356	e1y0zA1	10.12.1.12
1358	e2fctA1	10.12.1.25
1366	e1pg6A1	10.12.1.6
1372	e1r75A1	10.15.1.1
1373	e2fe0A1	10.15.1.1
1375	e2p3yA1	10.18.1.2
1381	e1pl3A1	11.1.1.193
1383	e1ulvA1	11.1.1.133
1393	e1k3iA2	11.1.1.122
1397	e1f1sA1	11.1.1.319
1398	e1qbaA1	11.1.1.52
1401	e1ji1A1	11.1.1.46
1402	e1wzlA1	11.1.1.46
1404	e1h3gA1	11.1.1.119
1406	e1eh9A1	11.1.1.47
1407	e2bhuA1	11.1.1.47
1410	e1ulvA2	11.1.1.124
1414	e2fhfA1	11.1.1.47
1421	e1s6nA1	11.1.1.43
1423	e1im3D1	11.1.1.82
1426	e1xwvA1	11.1.1.37
1428	e1doaB1	11.1.1.36
1431	e1p7bA1	11.1.1.229
1436	e1g0dA1	11.1.1.16
1442	e2d7pA1	11.1.1.12
1447	e2c34A1	11.1.1.130
1448	e2dmbA1	11.1.1.12
1449	e2dmcA1	11.1.1.12
1450	e2dibA1	11.1.1.12
1454	e1ix2A1	11.1.1.65
1455	e1ehxA1	11.1.1.56
1456	e1pbyA2	11.1.1.120
1457	e1pbyA3	11.1.1.121
1458	e1jmxA3	11.1.1.120
1460	e1v8hA1	11.1.1.116
1467	e1akpA1	11.1.1.20
1477	e2fnbA1	11.1.1.2
1478	e1j8kA1	11.1.1.2
1479	e1qr4A1	11.1.1.2
1484	e1cfbA1	11.1.1.2
1485	e1cfbA2	11.1.1.0
1487	e2vkwA2	11.1.1.2
1501	e2gysA3	11.1.1.0
1503	e1cd9B1	11.1.1.127
1508	e1bquA2	11.1.1.2
1516	e1n26A2	11.1.1.2
1521	e1uenA1	11.1.1.2
1522	e1ueyA1	11.1.1.2
1523	e1v5jA1	11.1.1.2
1526	e1wfuA1	11.1.1.0
1527	e1wj3A1	11.1.1.2
1539	e2cspA1	11.1.1.862
1540	e2cumA1	11.1.1.2
1541	e2cuiA1	11.1.1.2
1542	e2cuhA1	11.1.1.2
1545	e1x5zA1	11.1.1.2
1546	e1wisA1	11.1.1.2
1547	e1wf5A1	11.1.1.2
1548	e1wfoA1	11.1.1.2
1549	e1wfnA1	11.1.1.2
1551	e1x5hA1	11.1.1.2
1553	e1x5gA1	11.1.1.2
1554	e1x5iA1	11.1.1.2
1556	e1va9A1	11.1.1.2
1560	e2ibgA2	11.1.1.2
1565	e1op4A1	11.1.1.115
1570	e1l3wA5	11.1.1.0
1579	e1g0dA3	11.1.1.17
1582	e1yq2A2	11.1.1.203
1583	e1yq2A3	11.1.1.14
1586	e2vzsA3	11.1.1.264
1588	e2je8A2	11.1.1.14
1590	e2je8A4	11.1.1.236
1592	e1l6pA1	11.1.1.142
1596	e1cwvA2	11.1.1.123
1604	e1o75A1	11.1.1.188
1607	e1e42A1	11.1.1.44
1612	e1p4uA1	11.1.1.44
1618	e1p5vA2	11.1.1.10
1621	e1wicA1	11.1.1.13
1640	e1hxmA1	11.1.1.99
1643	e1hxmB1	11.1.1.99
1651	e1smoA1	11.1.1.99
1667	e2giyA1	11.1.1.40
1682	e1ogaE2	11.1.1.96
1683	e1hxmA2	11.1.1.96
1694	e1u58A1	11.1.1.96
1701	e1cczA2	11.1.1.81
1704	e1vcaA2	11.1.1.97
1708	e1zxqA2	11.1.1.64
1711	e1qz1A3	11.1.1.97
1712	e1gsmA1	11.1.1.0
1718	e1g1cA1	11.1.1.97
1719	e1tnnA1	11.1.1.97
1720	e1koaA1	11.1.1.97
1721	e1wiuA1	11.1.1.97
1723	e1iraY1	11.1.1.271
1724	e1iraY2	11.1.1.178
1725	e1iraY3	11.1.1.179
1729	e1bihA2	11.1.1.0
1732	e1olzA1	11.1.1.3
1749	e1uctA1	11.1.1.178
1753	e1ollA2	11.1.1.0
1772	e1b4rA1	11.1.1.15
1774	e1wgoA1	11.1.1.15
1777	e1kdjA1	3156.1.1.3
1782	e1qhqA1	3156.1.1.3
1783	e1e30A1	3156.1.1.0
1785	e1ibyA1	3156.1.1.13
1795	e1kv7A2	3156.1.1.4
1820	e1kzqA1	3156.3.1.1
1830	e1d2pA3	11.1.4.12
1831	e1vlfN1	11.1.4.23
1834	e2burA1	11.1.4.4
1838	e1nkgA2	11.1.4.27
1841	e1vemA1	11.1.4.3
1843	e2j43A1	11.1.4.11
1845	e2j73A1	11.1.4.11
1846	e1xpnA1	11.1.4.0
1848	e1n67A1	11.1.5.48
1849	e1n67A2	11.1.5.38
1862	e2bscA1	11.1.5.32
1863	e1ut1A1	11.1.5.19
1873	e1mnnA1	11.1.5.20
1875	e1x9lA1	11.1.5.16
1878	e1exhA1	11.1.5.2
1883	e2vn6A1	11.1.5.9
1885	e2vo8A1	11.1.5.9
1898	e1wpxB1	11.1.7.1
1900	e1so9A1	11.1.8.1
