Query	Target	TM-score
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/9gafA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d3ljqa_.pdb	0.9597
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/2b3rA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d2dmga1.pdb	0.8361
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1dt4A.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d6y2ca_.pdb	0.7868
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1aj0A.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d3bofa1.pdb	0.7519
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1d9eA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d3bofa1.pdb	0.7005
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/2fddA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d2rspa_.pdb	0.6974
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1kq1A.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/AF-A0A1F9E5Y6-F1-model_v4_TED01.pdb	0.6966
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/2b3rA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d3b7ya_.pdb	0.6951
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1pdrA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d3bpua1.pdb	0.6817
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1dt4A.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/AF-A0A1E3QZK2-F1-model_v4_TED03.pdb	0.6804
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1cmiA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/AF-A0A067K7N0-F1-model_v4_TED01.pdb	0.6751
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1v04A.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d6hrla_.pdb	0.6563
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/2fcwA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/AF-A0A0B8NNU5-F1-model_v4_TED01.pdb	0.6471
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1m6jA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d3bofa1.pdb	0.6297
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1kv8A.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d3bofa1.pdb	0.6247
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1d9eA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d3thaa1.pdb	0.6207
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1wwbX.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d2illa2.pdb	0.6086
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1kv8A.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d3thaa1.pdb	0.6062
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1pv1A.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d3wi7a_.pdb	0.6048
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1fo0B.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d2illa2.pdb	0.6042
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1vcvA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d3bofa1.pdb	0.6006
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1qkkA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d1orda1.pdb	0.5971
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/6chyA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d1orda1.pdb	0.5961
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1of3A.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/AF-A0A819JCP8-F1-model_v4_TED03.pdb	0.5956
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1v04A.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d1l0qa2.pdb	0.5937
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1m6jA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d3thaa1.pdb	0.5919
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1ttcA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/AF-A0A7C1F0C7-F1-model_v4_TED02.pdb	0.5881
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1tuxA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d3thaa1.pdb	0.5853
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1hz9A.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/AF-W2TYH5-F1-model_v4_TED01.pdb	0.5829
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/2dttA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/AF-A0A2K9YS16-F1-model_v4_TED02.pdb	0.5827
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1vcvA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d3thaa1.pdb	0.5820
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1fo0B.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/AF-A0A2T7P0V4-F1-model_v4_TED01.pdb	0.5794
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/2fcwA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/AF-A0A399SIX8-F1-model_v4_TED01.pdb	0.5786
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1ttcA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/AF-A0A7C4J582-F1-model_v4_TED05.pdb	0.5774
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1fo0B.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/AF-A0A7R9FPZ0-F1-model_v4_TED01.pdb	0.5774
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1fo0B.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/AF-A0A7S0HXB5-F1-model_v4_TED03.pdb	0.5763
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1w5pA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d3bofa1.pdb	0.5718
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/2ftpA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d3bofa1.pdb	0.5708
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1cmiA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/AF-A0A3P8ZWT2-F1-model_v4_TED01.pdb	0.5679
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/2fcwA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d3ze3a_.pdb	0.5668
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1aj0A.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d3thaa1.pdb	0.5665
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/2dttA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d2yzca1.pdb	0.5663
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1w5pA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d5ruba1.pdb	0.5655
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1xx1A.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d3thaa1.pdb	0.5649
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1ttcA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/AF-A0A1M6LV67-F1-model_v4_TED02.pdb	0.5626
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1kq1A.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/AF-A0A7Y6XQM8-F1-model_v4_TED04.pdb	0.5613
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1xx1A.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d5ruba1.pdb	0.5604
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1tuxA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d3bofa1.pdb	0.5601
/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CPDB_pdb_structures/1jlkA.pdb	/home/ubuntu/CIRPIN_db/ark_CPDB_analysis/CIRPIN_all_structures/d1orda1.pdb	0.5585
