PDB_Chain,PDB_ID,Chain_ID,UniProt_ID
1orjA,1orj,A,O67806
1w8gA,1w8g,A,P67080
1jpjA,1jpj,A,O07347
1iruF,1iru,F,Q3T0X5
2h7vA,2h7v,A,P63000
2bbkH,2bbk,H,P29894
2ghsA,2ghs,A,Q7D0W3
1uv7A,1uv7,A,P41851
1jq0A,1jq0,A,S4WCF9
2fb0A,2fb0,A,Q8A7U6
2d1zA,2d1z,A,Q7SI98
1nccN,1ncc,N,P03472
1j2qH,1j2q,H,Q9P996
2imgA,2img,A,Q9BVJ7
1tqjA,1tqj,A,P74061
1gncA,1gnc,A,P09919
1c5hA,1c5h,A,P09850
1wifA,1wif,A,Q9D9M4
2h16A,2h16,A,Q9Y689
1f70A,1f70,A,P0DP33
1f76A,1f76,A,P0A7E1
1qyrA,1qyr,A,P06992
1r03A,1r03,A,Q8N4E7
1ptaA,1pta,A,P0A434
1dorA,1dor,A,A2RJT9
1ib6A,1ib6,A,P61889
1udiI,1udi,I,P14739
1q8mA,1q8m,A,Q9NP99
1vlgA,1vlg,A,Q9X0L2
1p5jA,1p5j,A,P20132
1m8jA,1m8j,A,O26253
1ji4A,1ji4,A,P43313
1uj0A,1uj0,A,O88811
1eixA,1eix,A,P08244
1z0jA,1z0j,A,P35285
1fldA,1fld,A,P00322
1phpA,1php,A,P18912
1bu1A,1bu1,A,P08631
1dchA,1dch,A,P61459
1kzkA,1kzk,A,P03369
1dqwA,1dqw,A,P03962
2bgqA,2bgq,A,P23901
2fcaA,2fca,A,O34522
1xn9A,1xn9,A,Q8PZ95
2dfaA,2dfa,A,Q53WG6
2d8jA,2d8j,A,Q922K9
2o4lA,2o4l,A,Q1G1C3
1vpxA,1vpx,A,Q9WYD1
1bz4A,1bz4,A,P02649
1vhfA,1vhf,A,Q9X0E6
2bzdA,2bzd,A,Q02834
2ftpA,2ftp,A,Q9I2A0
1jtdB,1jtd,B,O87916
1dy6A,1dy6,A,P52682
1bk2A,1bk2,A,P07751
2a6zA,2a6z,A,P43555
2aneA,2ane,A,P0A9M0
1e9cA,1e9c,A,P23919
1h3hA,1h3h,A,O89100
1sw8A,1sw8,A,P0DP23
1pv1A,1pv1,A,P40363
1dypA,1dyp,A,P43478
1xcjA,1xcj,A,P10868
1xjcA,1xjc,A,D0VWV1
1cyeA,1cye,A,P0AE67
1to3A,1to3,A,Q9L7R9
2j66A,2j66,A,Q2L4H3
1vd5A,1vd5,A,Q9RC92
2ixqA,2ixq,A,Q47038
621pA,621p,A,P01112
2nwqA,2nwq,A,Q9HUQ6
1xbrA,1xbr,A,P24781
2hq1A,2hq1,A,A3DDY9
1h5qA,1h5q,A,O93868
2iygA,2iyg,A,Q3J677
1aw8B,1aw8,B,P0A790
1u5hA,1u5h,A,P9WPE1
1gmiA,1gmi,A,P09216
1kz4A,1kz4,A,Q9UUB1
1kz1A,1kz1,A,Q9UUB1
1dqyA,1dqy,A,P9WQN9
1wy9A,1wy9,A,O70200
1b9sA,1b9s,A,P03474
2b4lA,2b4l,A,P46922
2iftA,2ift,A,P44869
1zzwA,1zzw,A,Q9Y6W6
2aamA,2aam,A,Q9X1D0
1axiA,1axi,A,P01241
1al3A,1al3,A,P45600
1s18A,1s18,A,Q8WVQ1
1pt0A,1pt0,A,P0A790
1jpiA,1jpi,A,P06132
1yczA,1ycz,A,Q9WYA3
2d0nA,2d0n,A,O89100
2fgoA,2fgo,A,Q9I6D2
1v5cA,1v5c,A,Q9ALZ1
1ycoA,1yco,A,Q834I9
1o94C,1o94,C,P53570
1h5yA,1h5y,A,Q8ZY16
1cdmA,1cdm,A,P62157
2dl8A,2dl8,A,O75044
1uhpA,1uhp,A,Q9UPQ7
1xdzA,1xdz,A,P25813
2eryA,2ery,A,P62070
1q56A,1q56,A,P31696
1yc7A,1yc7,A,
1s89A,1s89,A,P0A731
1j3wA,1j3w,A,Q9X9L0
1wxtA,1wxt,A,Q8TE67
1j8qA,1j8q,A,P00323
2h13A,2h13,A,P61964
2gilA,2gil,A,P20340
1i1bA,1i1b,A,P01584
1g0uF,1g0u,F,P21242
1z9zA,1z9z,A,P32790
1yuxA,1yux,A,P30820
1jqxA,1jqx,A,A2RJT9
1r1dA,1r1d,A,Q06174
2b7yA,2b7y,A,P02871
1scmB,1scm,B,P13543
1vliA,1vli,A,P39625
1nyaA,1nya,A,P06495
2iaqA,2iaq,A,Q7SIG4
2a4jA,2a4j,A,P41208
1hw6A,1hw6,A,P06632
1sovA,1sov,A,Q27797
1h7iA,1h7i,A,P02649
721pA,721p,A,P01112
1il6A,1il6,A,P05231
2aedA,2aed,A,
1q77A,1q77,A,O66565
2fnjA,2fnj,A,A1Z6E0
1g3oA,1g3o,A,P00214
1tihA,1tih,A,Q40378
1xcfA,1xcf,A,P0A877
2bqpA,2bqp,A,P02867
1h3qA,1h3q,A,Q9CQP2
1zahA,1zah,A,P00883
1xj4A,1xj4,A,P23222
2fxvA,2fxv,A,P42085
1atzA,1atz,A,P04275
2hupA,2hup,A,Q86YS6
1akqA,1akq,A,P00323
1fcjA,1fcj,A,P0A1E3
2h18A,2h18,A,Q96BM9
2semA,2sem,A,P29355
1ff2A,1ff2,A,P00214
1e6lA,1e6l,A,P0AE67
1xuuA,1xuu,A,Q57265
1kfbA,1kfb,A,P00929
2a2lA,2a2l,A,Q48422
1uflA,1ufl,A,P83820
1zpvA,1zpv,A,P67382
1avzC,1avz,C,P06241
2dsoA,2dso,A,Q99QV3
2fz5A,2fz5,A,P00321
1f07A,1f07,A,Q50744
2nphA,2nph,A,P04585
1dy3A,1dy3,A,P26281
1bbzA,1bbz,A,P00519
1azdA,1azd,A,P55915
1rui1,1rui,1,P03303
1hq2A,1hq2,A,P26281
1w6mA,1w6m,A,P09382
1r3wA,1r3w,A,P06132
1so6A,1so6,A,P39304
2b45X,2b45,X,P18429
1i9hA,1i9h,A,P22629
1ks8A,1ks8,A,O77044
1wl7A,1wl7,A,Q93HT9
2fawA,2faw,A,O81226
2c71A,2c71,A,O87119
2nt8A,2nt8,A,Q50EJ2
1iubA,1iub,A,P18891
1fdjA,1fdj,A,P79226
1f75A,1f75,A,O82827
1yt4A,1yt4,A,P62593
2f51A,2f51,A,Q8IEV4
1eumA,1eum,A,P0A998
2b7nA,2b7n,A,O25909
1bywA,1byw,A,Q12809
2cn7A,2cn7,A,P02794
1xcgB,1xcg,B,P61586
2nptB,2npt,B,Q9Y2U5
1mdaH,1mda,H,
1h8nA,1h8n,A,
1dusA,1dus,A,Q58292
2b4gA,2b4g,A,Q57U83
1a22A,1a22,A,P01241
1ct5A,1ct5,A,P38197
1nxoA,1nxo,A,A0A0H2UQ68
1crzA,1crz,A,P0A855
1cqkA,1cqk,A,
2fcdA,2fcd,A,P53141
1dctA,1dct,A,P20589
2a6xA,2a6x,A,Q12396
1swqA,1swq,A,P22629
1wktA,1wkt,A,P10410
1kq1A,1kq1,A,A0A0H3JV59
1tadA,1tad,A,P04695
2fjuA,2fju,A,P63000
1mxsA,1mxs,A,P00885
1fatA,1fat,A,P05087
2gyqA,2gyq,A,Q6N4M9
1w1fA,1w1f,A,P07948
1i5iA,1i5i,A,P02526
1ebbA,1ebb,A,Q9ALU0
1we4A,1we4,A,Q47066
2f6lA,2f6l,A,P9WIB9
1tph1,1tph,1,P00940
2o52A,2o52,A,P61018
1hv0A,1hv0,A,P09850
1krqA,1krq,A,Q46106
1s4uX,1s4u,X,Q02793
2ex4A,2ex4,A,Q9BV86
1z0dA,1z0d,A,P35278
1b4rA,1b4r,A,P98161
1j27A,1j27,A,Q84BR1
1iq5A,1iq5,A,P0DP33
1p68A,1p68,A,
21biA,21bi,A,P01584
1g69A,1g69,A,P39594
1g4eA,1g4e,A,P39594
1dpfA,1dpf,A,P61586
1q3oA,1q3o,A,Q9WV48
2iwqA,2iwq,A,O75970
1clmA,1clm,A,P07463
1xm3A,1xm3,A,O31618
1icpA,1icp,A,Q9XG54
2a8gA,2a8g,A,P02701
1oebA,1oeb,A,O89100
1nzeA,1nze,A,P12301
1so8A,1so8,A,Q99714
1z6xA,1z6x,A,P18085
1m4wA,1m4w,A,Q8GMV7
1l1eA,1l1e,A,P9WPB3
1jjfA,1jjf,A,P10478
1mwqA,1mwq,A,P44887
1mblA,1mbl,A,P00808
1l3pA,1l3p,A,Q40963
1e6hA,1e6h,A,P07751
1z0kA,1z0k,A,P20338
2g98A,2g98,A,P07320
7odcA,7odc,A,P00860
1ciwA,1ciw,A,P02872
1zicA,1zic,A,P0A114
2gjsA,2gjs,A,P55042
2h9aB,2h9a,B,Q3ACS0
1oiwA,1oiw,A,P62491
2j41A,2j41,A,Q5HGM3
1u4cA,1u4c,A,P26449
2a5bA,2a5b,A,P02701
2iycA,2iyc,A,Q9P0U3
