Protein1,Protein2,tmscore_max,tmscore_cp_max,tmscore_min,tmscore_cp_min,progres_score,cirpin_score,Protein1_sccs,Protein2_sccs,tm_score_min_difference,Protein1_uniprot,Protein2_uniprot
1ajkA,1u0aA,0.56902,0.94342,0.56382,0.93477,0.9867583513259888,0.9975162148475648,b.29.1.2,b.29.1.2,0.37095,P23904,P23904
1ajkA,1cpmA,0.83039,0.9479,0.82277,0.93919,0.9742190837860109,0.998608648777008,b.29.1.2,b.29.1.2,0.1164199999999999,P23904,P23904
1ajkA,1cpnA,0.807,0.92456,0.807,0.92456,0.9793177843093872,0.997952938079834,b.29.1.2,b.29.1.2,0.11756,P23904,P23904
1ajkA,1byhA,0.56919,0.93909,0.564,0.9305,0.9864158630371094,0.9985718727111816,b.29.1.2,b.29.1.2,0.3665,P23904,P23904
1ajoA,1cpnA,0.64425,0.96345,0.64425,0.96345,0.9810370206832886,0.997639775276184,b.29.1.2,b.29.1.2,0.3192,P23904,P23904
1ajoA,1ajkA,0.75309,0.94698,0.75309,0.94698,0.9800019264221193,0.9978266358375548,b.29.1.2,b.29.1.2,0.19389,P23904,P23904
1byhA,1cpmA,0.72551,0.97464,0.72551,0.97464,0.985767126083374,0.9987342953681946,b.29.1.2,b.29.1.2,0.2491299999999999,P23904,P23904
1byhA,1ajoA,0.57098,0.97076,0.57098,0.97076,0.9883095622062684,0.9982811212539672,b.29.1.2,b.29.1.2,0.3997799999999999,P23904,P23904
1byhA,1cpnA,0.72511,0.95524,0.72511,0.95524,0.9882183074951172,0.997755527496338,b.29.1.2,b.29.1.2,0.2301299999999999,P23904,P23904
1cpmA,1ajoA,0.65967,0.97661,0.65967,0.97661,0.9791305065155028,0.998881459236145,b.29.1.2,b.29.1.2,0.31694,P23904,P23904
1cpmA,1macA,0.72475,0.97341,0.72475,0.97341,0.9883584976196288,0.9988508820533752,b.29.1.2,b.29.1.2,0.24866,P23904,P23904
1macA,1cpnA,0.72931,0.97259,0.72931,0.97259,0.9904576539993286,0.9976711869239808,b.29.1.2,b.29.1.2,0.2432799999999999,P23904,P23904
1macA,1ajoA,0.57692,0.98077,0.57692,0.98077,0.9885308742523192,0.9986777305603028,b.29.1.2,b.29.1.2,0.40385,P23904,P23904
1macA,1ajkA,0.56829,0.94197,0.56829,0.94197,0.984467387199402,0.9969631433486938,b.29.1.2,b.29.1.2,0.37368,P23904,P23904
1u0aA,1cpmA,0.72591,0.9801,0.72591,0.9801,0.9847592711448668,0.999111533164978,b.29.1.2,b.29.1.2,0.2541899999999999,P23904,P23904
1u0aA,1ajoA,0.57542,0.97558,0.57542,0.97558,0.9876678586006165,0.9988293647766112,b.29.1.2,b.29.1.2,0.4001599999999999,P23904,P23904
1u0aA,1cpnA,0.72398,0.95794,0.72398,0.95794,0.9873899221420288,0.997789978981018,b.29.1.2,b.29.1.2,0.23396,P23904,P23904
2ixqB,1uszA,0.66841,0.74127,0.66841,0.74127,0.8284873962402344,0.9729115962982178,b.2.3.6,b.2.3.6,0.07286,Q57254,Q57254
1df8A,1swfA,0.69044,0.94075,0.69044,0.69305,0.8716517686843872,0.8120423555374146,b.61.1.1,b.61.1.1,0.00261,P22629,P22629
1hqqA,1swfA,0.68349,0.92757,0.68089,0.68355,0.8717461824417114,0.8225752115249634,b.61.1.1,b.61.1.1,0.0026599999999999,P22629,P22629
1kffA,1swfA,0.67751,0.91971,0.67237,0.67511,0.8684765100479126,0.8170033693313599,b.61.1.1,b.61.1.1,0.0027399999999999,P22629,P22629
1kl4A,1swfA,0.67702,0.9192,0.67197,0.67468,0.8681093454360962,0.8120363354682922,b.61.1.1,b.61.1.1,0.0027099999999999,P22629,P22629
1lcvA,1swfA,0.67559,0.92484,0.67209,0.67511,0.8635896444320679,0.7988947033882141,b.61.1.1,b.61.1.1,0.00302,P22629,P22629
1mepA,1swfA,0.67945,0.92572,0.6766,0.67941,0.8746400475502014,0.8143246173858643,b.61.1.1,b.61.1.1,0.0028099999999999,P22629,P22629
1mk5A,1swfA,0.67463,0.93251,0.67283,0.67578,0.8633447885513306,0.8028969764709473,b.61.1.1,b.61.1.1,0.00295,P22629,P22629
1mm9A,1swfA,0.63334,0.86396,0.63109,0.63389,0.877385675907135,0.819841206073761,b.61.1.1,b.61.1.1,0.0027999999999999,P22629,P22629
