Protein1,Protein2,tmscore_max,tmscore_cp_max,tmscore_min,tmscore_cp_min,progres_score,cirpin_score,Protein1_sccs,Protein2_sccs,tm_score_min_difference,Protein1_uniprot,Protein2_uniprot
1fp3A,1vd5A,0.6776,0.6776,0.6776,0.6776,0.9394007325172424,0.9837052226066588,a.102.1.3,a.102.1.7,0.0,P17560,Q9RC92
1fp3A,1wu4A,0.67768,0.67887,0.67768,0.67887,0.9716490507125854,0.990783989429474,a.102.1.3,a.102.1.2,0.00119,P17560,Q9KB30
1fp3A,2drqA,0.67558,0.67691,0.67558,0.67691,0.976585566997528,0.9908779859542848,a.102.1.3,a.102.1.2,0.00133,P17560,Q9KB30
1fp3A,1wu6A,0.67434,0.67558,0.67434,0.67558,0.9746748208999634,0.9909331798553468,a.102.1.3,a.102.1.2,0.0012399999999999,P17560,Q9KB30
1fp3A,1hzfA,0.54695,0.55763,0.54695,0.55763,0.9116744995117188,0.9482427835464478,a.102.1.3,a.102.4.4,0.0106799999999999,P17560,P0C0L4
1fp3A,1ks8A,0.63233,0.69125,0.59385,0.64707,0.958749771118164,0.9824199676513672,a.102.1.3,a.102.1.2,0.05322,P17560,O77044
1nc5A,2drqA,0.6585,0.66306,0.63718,0.64225,0.9683833122253418,0.9936727285385132,a.102.1.6,a.102.1.2,0.00507,O34559,Q9KB30
1nc5A,1ghqA,0.58885,0.64552,0.58885,0.64552,0.9208002090454102,0.9636214971542358,a.102.1.6,a.102.4.4,0.05667,O34559,P01024
1nc5A,1c3dA,0.57529,0.62801,0.57529,0.62801,0.9138580560684204,0.9693883061408995,a.102.1.6,a.102.4.4,0.0527199999999999,O34559,P01024
1nc5A,1qqfA,0.53718,0.59195,0.53718,0.59195,0.9080404043197632,0.9644803404808044,a.102.1.6,a.102.4.4,0.0547699999999999,O34559,P01026
1v5cA,1fo2A,0.65778,0.67728,0.57082,0.58921,0.9280219078063964,0.9805784225463868,a.102.1.2,a.102.2.1,0.01839,Q9ALZ1,Q9UKM7
1vd5A,2afaA,0.73364,0.73364,0.69877,0.69877,0.971409022808075,0.9937114715576172,a.102.1.7,a.102.1.3,0.0,Q9RC92,Q8ZKT7
1vd5A,1ghqA,0.57596,0.61819,0.57596,0.61819,0.9151842594146729,0.9391846656799316,a.102.1.7,a.102.4.4,0.0422299999999999,Q9RC92,P01024
1vd5A,2nvpA,0.61825,0.62826,0.56273,0.57304,0.9313035011291504,0.9689638018608092,a.102.1.7,a.102.1.8,0.01031,Q9RC92,Q8XNB2
1wzzA,2ahfA,0.74067,0.74067,0.62434,0.62434,0.9641945362091064,0.9836954474449158,a.102.1.2,a.102.1.7,0.0,P37696,Q9RC92
1wzzA,1kktA,0.69636,0.69412,0.4842,0.4825,0.9230562448501588,0.9715998768806458,a.102.1.2,a.102.2.1,-0.0017,P37696,P31723
1wzzA,2h6gB,0.62184,0.56706,0.49232,0.45035,0.9066227078437804,0.971098780632019,a.102.1.2,,-0.04197,P37696,P49356
1wzzA,1ks8A,0.62796,0.67413,0.47413,0.50758,0.9838312864303588,0.9850889444351196,a.102.1.2,a.102.1.2,0.03345,P37696,O77044
2ahfA,1fp3A,0.71519,0.71519,0.67707,0.67707,0.9414584040641784,0.9827525019645692,a.102.1.7,a.102.1.3,0.0,Q9RC92,P17560
2ahfA,2afaA,0.73321,0.73321,0.69841,0.69841,0.9735706448554992,0.9930429458618164,a.102.1.7,a.102.1.3,0.0,Q9RC92,Q8ZKT7
2ahfA,1ghqA,0.57578,0.61872,0.57578,0.61872,0.9154540300369264,0.93919038772583,a.102.1.7,a.102.4.4,0.04294,Q9RC92,P01024
2ahfA,1qqfA,0.53496,0.56075,0.53496,0.56075,0.8936168551445007,0.9422563314437866,a.102.1.7,a.102.4.4,0.0257899999999999,Q9RC92,P01026
2gh4A,1hzfA,0.59563,0.64756,0.59563,0.64756,0.932772159576416,0.9608749151229858,a.102.1.6,a.102.4.4,0.05193,O34559,P0C0L4
2gh4A,1gszA,0.69203,0.69203,0.42755,0.42755,0.8472675085067749,0.9462058544158936,a.102.1.6,a.102.4.2,0.0,O34559,P33247
2gh4A,1c3dA,0.57534,0.62831,0.57534,0.62831,0.9136641025543212,0.9700316190719604,a.102.1.6,a.102.4.4,0.05297,O34559,P01024
2gh4A,1qqfA,0.53695,0.59287,0.53695,0.59287,0.907025933265686,0.9652262330055236,a.102.1.6,a.102.4.4,0.0559199999999999,O34559,P01026
2sqcA,1kwfA,0.41481,0.41481,0.41481,0.41481,0.8591132760047913,0.9589436650276184,a.102.4.2,a.102.1.2,0.0,P33247,A3DC29
1a22A,2ffxJ,0.41235,0.53224,0.41235,0.53224,0.6564913988113403,0.926900327205658,a.26.1.1,a.25.1.1,0.11989,P01241,P02792
1a22A,1gwgA,0.41125,0.53075,0.41125,0.53075,0.6418503522872925,0.9374778270721436,a.26.1.1,a.25.1.1,0.1195,P01241,P02791
1a22A,1z4aA,0.41745,0.51502,0.41745,0.51502,0.6326425075531006,0.9488695859909058,a.26.1.1,a.25.1.1,0.09757,P01241,Q9X0L2
1a22A,2fg4A,0.41156,0.53157,0.41156,0.53157,0.6565232872962952,0.9235975742340088,a.26.1.1,a.25.1.1,0.12001,P01241,P02792
1a22A,1h96A,0.41031,0.52546,0.41031,0.52546,0.646377682685852,0.9328633546829224,a.26.1.1,a.25.1.1,0.11515,P01241,P29391
1a22A,2chiA,0.41688,0.52909,0.41688,0.52909,0.6483619213104248,0.9391372799873352,a.26.1.1,a.25.1.1,0.1122099999999999,P01241,P02794
1a22A,2gydA,0.41096,0.52951,0.41096,0.52951,0.6422522664070129,0.9404563903808594,a.26.1.1,a.25.1.1,0.11855,P01241,P02791
1a22A,1mfrA,0.4096,0.52833,0.4096,0.52833,0.6453571319580078,0.9361695647239684,a.26.1.1,a.25.1.1,0.1187299999999999,P01241,P07798
1a22A,1s3qA,0.39113,0.4875,0.39113,0.4875,0.585935115814209,0.9654630422592164,a.26.1.1,a.25.1.1,0.09637,P01241,O29424
1a22A,1vlgA,0.41867,0.52106,0.41867,0.52106,0.631264328956604,0.9496623277664183,a.26.1.1,a.25.1.1,0.1023899999999999,P01241,Q9X0L2
1a22A,1rcdA,0.41812,0.53148,0.41812,0.53148,0.6581583619117737,0.9329793453216552,a.26.1.1,a.25.1.1,0.1133599999999999,P01241,P07797
1a22A,2itbA,0.45927,0.57668,0.43136,0.54236,0.7276570200920105,0.9272656440734864,a.26.1.1,a.25.1.7,0.1109999999999999,P01241,Q88KV1
1a22A,1rccA,0.43432,0.5325,0.43432,0.5325,0.6629314422607422,0.9352961778640748,a.26.1.1,a.25.1.1,0.0981799999999999,P01241,P07797
1a22A,2cn7A,0.41229,0.53343,0.41229,0.53343,0.6527019143104553,0.9353854656219482,a.26.1.1,a.25.1.1,0.1211399999999999,P01241,P02794
1a22A,1bcfA,0.43853,0.54378,0.43853,0.54378,0.637854278087616,0.958999514579773,a.26.1.1,a.25.1.1,0.10525,P01241,P0ABD3
1a22A,1aewA,0.40835,0.5268,0.40835,0.5268,0.6500692367553711,0.9293696880340576,a.26.1.1,a.25.1.1,0.11845,P01241,P02791
1a22A,2cluA,0.41268,0.53287,0.41268,0.53287,0.6512675285339355,0.9369253516197203,a.26.1.1,a.25.1.1,0.1201899999999999,P01241,P02794
1a22A,1yuzA,0.4347,0.52277,0.39885,0.48143,0.7283245325088501,0.8776348829269409,a.26.1.1,a.25.1.1,0.08258,P01241,P30820
1a22A,1sofA,0.43463,0.54075,0.43463,0.54075,0.6330497860908508,0.9522469639778136,a.26.1.1,a.25.1.1,0.1061199999999999,P01241,P22759
1a22A,1yuxA,0.43475,0.52275,0.39886,0.48144,0.7190495729446411,0.8883278369903564,a.26.1.1,a.25.1.1,0.0825799999999999,P01241,P30820
1a22A,1jgcA,0.43411,0.53146,0.43411,0.53146,0.6108015179634094,0.9324508905410768,a.26.1.1,a.25.1.1,0.09735,P01241,Q59738
1a22A,1fhaA,0.41618,0.52396,0.41618,0.52396,0.6456060409545898,0.9371616840362548,a.26.1.1,a.25.1.1,0.1077799999999999,P01241,P02794
1a22A,1n1qA,0.43114,0.53084,0.43114,0.53084,0.6098855137825012,0.9329615831375122,a.26.1.1,a.25.1.1,0.0996999999999999,P01241,P83695
1a22A,1krqA,0.42379,0.53164,0.42379,0.53164,0.6297049522399902,0.9430052042007446,a.26.1.1,a.25.1.1,0.10785,P01241,Q46106
1a22A,1eumA,0.42241,0.53311,0.42241,0.53311,0.6402709484100342,0.9411520957946776,a.26.1.1,a.25.1.1,0.1106999999999999,P01241,P0A998
1a22A,1rytA,0.44573,0.56599,0.42584,0.54161,0.6303572654724121,0.8950601816177368,a.26.1.1,a.25.1.1,0.11577,P01241,P24931
1a22A,1umnA,0.42445,0.54107,0.42445,0.54107,0.5982449054718018,0.9519091844558716,a.26.1.1,a.25.1.1,0.11662,P01241,P0CB53
1a22A,1nf4A,0.43218,0.5399,0.43218,0.5399,0.649833619594574,0.9507951736450196,a.26.1.1,a.25.1.1,0.10772,P01241,Q93PP9
1a22A,2clbA,0.45272,0.53663,0.45272,0.53663,0.5994457602500916,0.9454264640808104,a.26.1.1,,0.08391,P01241,P95855
