,Protein1,Protein2,tm_score_calculated,tm_score_cp_calculated,progres_score,cirpin_score,difference
4148,1a23A,1un2A,0.45417,0.81368,0.9844257831573486,0.9887176156044006,0.35950999999999994
4149,1ac1A,1un2A,0.50342,0.9387,0.984773576259613,0.9915183782577515,0.43528
4150,1acvA,1un2A,0.50519,0.94177,0.983860433101654,0.9917014837265015,0.43657999999999997
4151,1bedA,1un2A,0.46898,0.86295,0.9795492887496948,0.9909828901290894,0.39397
4152,1fvjA,1un2A,0.50742,0.94509,0.9846082925796509,0.9908530712127686,0.43767
4153,1r4wA,1un2A,0.30433,0.5611,0.9785876274108887,0.9766457080841064,0.25677000000000005
4154,1ti1A,1un2A,0.48785,0.93896,0.9912670850753784,0.9952080249786377,0.45111
4155,1un2A,1bq7A,0.51353,0.96431,0.9891652464866638,0.9955768585205078,0.45077999999999996
4156,1un2A,2b3sA,0.47593,0.90986,0.9857510924339294,0.9934272766113281,0.43393
4159,1yzxA,1un2A,0.30365,0.5655,0.9767621159553528,0.9713166952133179,0.26185
4160,2b6mA,1un2A,0.50505,0.95804,0.9862810373306274,0.9930421113967896,0.45299
4161,2in3A,1un2A,0.34446,0.6395,0.9639431238174438,0.9463019967079163,0.29503999999999997
