,Protein1,Protein2,tmscore_max,tmscore_cp_max,tmscore_min,tmscore_cp_min,progres_score,cirpin_score,Protein1_sccs,Protein2_sccs,tm_score_min_difference
871,1ajkA,1u0aA,0.56902,0.94342,0.56382,0.93477,0.9867583513259888,0.9975162148475648,b.29.1.2,b.29.1.2,0.37095
874,1ajkA,1byhA,0.56919,0.93909,0.564,0.9305,0.9864158630371094,0.9985718727111816,b.29.1.2,b.29.1.2,0.3665
924,1ajoA,1umzA,0.31726,0.77771,0.26941,0.62954,0.9847478866577148,0.9786159992218018,b.29.1.2,b.29.1.2,0.36013
951,1apnA,2fmdA,0.47348,0.93748,0.45757,0.9061,0.9528512954711914,0.9966081380844116,b.29.1.1,b.29.1.0,0.44853
952,1apnA,1q8oA,0.47129,0.91694,0.44276,0.86146,0.9552962183952332,0.993364691734314,b.29.1.1,b.29.1.1,0.4187
953,1apnA,1n3oA,0.4724,0.91876,0.44033,0.8563,0.9554046392440796,0.9916335344314576,b.29.1.1,b.29.1.1,0.4159699999999999
954,1apnA,1ciwA,0.46433,0.90249,0.44907,0.87315,0.9493539333343506,0.997121036052704,b.29.1.1,b.29.1.1,0.4240799999999999
955,1apnA,2bqpA,0.46577,0.90637,0.45788,0.89113,0.944271683692932,0.99720299243927,b.29.1.1,b.29.1.1,0.4332499999999999
956,1apnA,1n47A,0.46688,0.91799,0.44941,0.88371,0.949167251586914,0.9977929592132568,b.29.1.1,b.29.1.1,0.4343
957,1apnA,1bzwA,0.4646,0.90294,0.44932,0.87355,0.949565052986145,0.9972251653671264,b.29.1.1,b.29.1.1,0.42423
958,1apnA,1lteA,0.46844,0.912,0.44008,0.85719,0.9507171511650084,0.9969052076339722,b.29.1.1,b.29.1.1,0.41711
959,1apnA,1dzqA,0.4626,0.91551,0.44348,0.87799,0.9478738903999328,0.996687948703766,b.29.1.1,b.29.1.1,0.43451
960,1apnA,1ax0A,0.4689,0.91212,0.44048,0.85731,0.9507944583892822,0.9968513250350952,b.29.1.1,b.29.1.1,0.41683
961,1apnA,1uzyA,0.46936,0.90868,0.44267,0.85746,0.952702522277832,0.9960098266601562,b.29.1.1,b.29.1.1,0.41479
962,1apnA,1dbnA,0.46337,0.91533,0.43516,0.86,0.9487736225128174,0.9961604475975036,b.29.1.1,b.29.1.1,0.42484
963,1apnA,1gz9A,0.46896,0.91277,0.44051,0.85787,0.951176106929779,0.99627286195755,b.29.1.1,b.29.1.1,0.41736
964,1apnA,1bjqA,0.49631,0.90349,0.44543,0.80972,0.9435085654258728,0.994185209274292,b.29.1.1,b.29.1.1,0.36429
965,1apnA,1fnyA,0.47222,0.90803,0.45266,0.87072,0.9496721029281616,0.997912347316742,b.29.1.1,b.29.1.1,0.41806
966,1apnA,1g9fA,0.47571,0.91466,0.4435,0.85267,0.941253662109375,0.9959567785263062,b.29.1.1,b.29.1.1,0.40917
967,1apnA,1sfyA,0.46958,0.91362,0.44108,0.85863,0.9511306285858154,0.9965415000915528,b.29.1.1,b.29.1.1,0.41755
968,1apnA,1fyuA,0.46788,0.91102,0.43955,0.85632,0.9519977569580078,0.9966830611228944,b.29.1.1,b.29.1.1,0.41677
969,1apnA,1g7yA,0.48859,0.90695,0.43849,0.81288,0.9476299285888672,0.9935140609741212,b.29.1.1,b.29.1.1,0.37439
970,1apnA,1wblA,0.47019,0.90086,0.44527,0.85345,0.948720932006836,0.9970710277557372,b.29.1.1,b.29.1.1,0.40818
971,1apnA,1fatA,0.46689,0.89906,0.45131,0.86937,0.9439700841903688,0.9972171783447266,b.29.1.1,b.29.1.1,0.41806
972,1apnA,1g8wA,0.46665,0.89917,0.44921,0.86589,0.9451701641082764,0.996969997882843,b.29.1.1,b.29.1.1,0.41668
973,1apnA,1avbA,0.45487,0.88893,0.451,0.88143,0.9468762874603271,0.99531888961792,b.29.1.1,b.29.1.1,0.43043
974,1apnA,1fx5A,0.47046,0.90727,0.44021,0.8493,0.951013445854187,0.9964250326156616,b.29.1.1,b.29.1.1,0.40909
977,1apnA,1wbfA,0.47011,0.90547,0.44519,0.85792,0.9497634768486024,0.9966790676116944,b.29.1.1,b.29.1.1,0.41273
979,1apnA,1gnzA,0.45984,0.88578,0.43731,0.8429,0.948718786239624,0.9966718554496764,b.29.1.1,b.29.1.1,0.40559
984,1apnA,1gslA,0.46871,0.89306,0.43535,0.82985,0.9471362233161926,0.9937314987182616,b.29.1.1,b.29.1.1,0.3944999999999999
985,1apnA,1hqlA,0.45931,0.88636,0.4368,0.84343,0.947329878807068,0.9962236285209656,b.29.1.1,b.29.1.1,0.40663
986,1apnA,1ioaA,0.45491,0.89199,0.44722,0.87703,0.9489902257919312,0.9953293204307556,b.29.1.1,b.29.1.1,0.4298099999999999
988,1apnA,1f9kA,0.46255,0.89256,0.44343,0.85624,0.9484339952468872,0.9963971376419068,b.29.1.1,b.29.1.1,0.41281
998,1ax0A,1h9wA,0.46637,0.91451,0.46637,0.91451,0.9875601530075072,0.9969582557678224,b.29.1.1,b.29.1.1,0.44814
999,1ax0A,1h9pA,0.46573,0.91492,0.46573,0.91492,0.989037275314331,0.9972065687179564,b.29.1.1,b.29.1.1,0.44919
1000,1ax0A,2gdfA,0.4587,0.88073,0.4587,0.88073,0.9663766622543336,0.9940195083618164,b.29.1.1,b.29.1.1,0.42203
1004,1azdA,2fmdA,0.48473,0.95505,0.48473,0.95505,0.9914296865463256,0.9974502325057985,b.29.1.1,b.29.1.0,0.4703199999999999
1005,1azdA,1q8oA,0.4784,0.93246,0.47451,0.92487,0.9929358959197998,0.996533453464508,b.29.1.1,b.29.1.1,0.45036
1006,1azdA,1n47A,0.4674,0.91716,0.4674,0.91716,0.9907876253128052,0.9952791333198548,b.29.1.1,b.29.1.1,0.44976
1007,1azdA,1ciwA,0.47072,0.89267,0.47072,0.89267,0.9920921325683594,0.9973841905593872,b.29.1.1,b.29.1.1,0.4219499999999999
1008,1azdA,1bjqA,0.49877,0.91405,0.47206,0.86447,0.9867897629737854,0.9945538640022278,b.29.1.1,b.29.1.1,0.39241
1009,1azdA,1g7yA,0.49393,0.91709,0.46746,0.8674,0.9904147386550904,0.993832230567932,b.29.1.1,b.29.1.1,0.3999399999999999
1010,1azdA,1ax0A,0.47003,0.92002,0.46623,0.91261,0.9903368949890136,0.9959650039672852,b.29.1.1,b.29.1.1,0.44638
1011,1azdA,1lteA,0.46972,0.91706,0.46592,0.90966,0.9902060031890868,0.9961711168289183,b.29.1.1,b.29.1.1,0.44374
1012,1azdA,2bqpA,0.47217,0.89701,0.47217,0.89701,0.9919700622558594,0.9958068132400512,b.29.1.1,b.29.1.1,0.42484
1013,1azdA,1uzyA,0.47117,0.91685,0.46925,0.91313,0.990547776222229,0.9951695203781128,b.29.1.1,b.29.1.1,0.44388
1014,1azdA,1gz9A,0.47017,0.92098,0.46635,0.91355,0.990472972393036,0.99591326713562,b.29.1.1,b.29.1.1,0.4472
1015,1azdA,1bzwA,0.47083,0.89529,0.47083,0.89529,0.992374062538147,0.998101770877838,b.29.1.1,b.29.1.1,0.42446
1016,1azdA,1fnyA,0.47616,0.91347,0.47616,0.91347,0.9917315244674684,0.9959119558334352,b.29.1.1,b.29.1.1,0.43731
1017,1azdA,1sfyA,0.47074,0.92101,0.46692,0.91358,0.9901479482650756,0.9960566163063048,b.29.1.1,b.29.1.1,0.4466599999999999
1018,1azdA,1dbnA,0.46981,0.92088,0.46598,0.91342,0.9930933713912964,0.995952844619751,b.29.1.1,b.29.1.1,0.44744
1019,1azdA,1fyuA,0.46919,0.92009,0.46539,0.91268,0.990440547466278,0.99628883600235,b.29.1.1,b.29.1.1,0.44729
1020,1azdA,1hqlA,0.46548,0.89818,0.46548,0.89818,0.9919037818908693,0.9963895082473756,b.29.1.1,b.29.1.1,0.4327
1021,1azdA,1fatA,0.47159,0.90455,0.47159,0.90455,0.9892677664756776,0.9962466359138488,b.29.1.1,b.29.1.1,0.4329599999999999
