struct1	struct2	Progres_score	CIRPIN_score
000007380	000007414	0.5405	0.9449
000007380	000379641	0.4452	0.9062
000007380	001718744	0.4785	0.9035
000007380	003221501	0.5326	0.9083
000007380	003256028	0.5018	0.9011
000007380	003259022	0.3664	0.9249
000007380	003276533	0.4473	0.9119
000007380	003277734	0.4022	0.9338
000007380	003278461	0.4903	0.9607
000007380	003326231	0.4570	0.9168
000007380	003384708	0.3828	0.9592
000007380	003388306	0.4418	0.9374
000007380	003489485	0.4176	0.9121
000007380	003599834	0.4722	0.9097
000007380	003699154	0.3628	0.9058
000007380	003707024	0.5382	0.9198
000007380	003893356	0.4203	0.9306
000007380	003926817	0.4466	0.9194
000007380	003927485	0.5186	0.9366
000007380	003932681	0.3803	0.9064
000007380	003974487	0.4172	0.9112
000007380	003979604	0.5510	0.9464
000007380	003980597	0.4153	0.9519
000007380	003983612	0.5290	0.9513
000007380	003988870	0.4894	0.9181
000007380	004002734	0.5302	0.9404
000007380	004009350	0.5278	0.9583
000007380	004028987	0.4949	0.9519
000007380	004034170	0.4380	0.9519
000007380	004178839	0.5880	0.9113
000007380	004253554	0.4243	0.9557
000007380	004477674	0.5083	0.9619
000007380	004935667	0.5702	0.9475
000007380	004946152	0.4448	0.9332
000007380	005013047	0.4819	0.9511
000007380	005033151	0.4647	0.9614
000007380	005063011	0.4569	0.9318
000007384	000007400	0.5583	0.9028
000007384	001687172	0.5075	0.9419
000007384	001718744	0.5164	0.9034
000007384	003213464	0.5229	0.9001
000007384	003277734	0.4483	0.9311
000007384	003278461	0.5471	0.9020
000007384	003422197	0.5602	0.9208
000007384	003498187	0.6000	0.9091
000007384	003517168	0.5608	0.9007
000007384	003600999	0.5337	0.9022
000007384	003707024	0.5886	0.9088
000007384	003739787	0.5813	0.9035
000007384	003753032	0.5825	0.9022
000007384	003783242	0.5614	0.9078
000007384	003826691	0.5960	0.9233
000007384	003927485	0.5528	0.9027
000007384	003974487	0.4230	0.9258
000007384	003980597	0.4251	0.9422
000007384	004002734	0.5761	0.9037
000007384	004009350	0.5289	0.9245
000007384	004026880	0.5955	0.9105
000007384	004028987	0.5353	0.9092
000007384	004034170	0.4419	0.9281
000007384	004253554	0.4027	0.9482
000007384	004477674	0.4914	0.9150
000007384	004935667	0.5166	0.9297
000007384	005013047	0.4662	0.9230
000007384	005028264	0.4513	0.9035
000007384	005033151	0.4416	0.9008
000007384	005063011	0.5079	0.9133
000007390	000007414	0.5183	0.9069
000007390	003278461	0.5251	0.9250
000007390	003384708	0.5395	0.9222
000007390	003927485	0.5072	0.9143
000007390	003979604	0.5301	0.9106
000007390	003980597	0.5061	0.9309
000007390	003983612	0.5289	0.9115
000007390	004002734	0.5149	0.9139
000007390	004009350	0.5848	0.9362
000007390	004028987	0.5764	0.9146
000007390	004034170	0.5012	0.9030
000007390	004253554	0.4869	0.9049
000007390	004477674	0.5031	0.9078
000007390	004935667	0.5820	0.9073
000007390	005013047	0.5347	0.9143
000007390	005033151	0.5220	0.9240
000007396	003278461	0.3982	0.9182
000007396	003384708	0.4111	0.9073
